,silhouette,calinski_harabasz,davies_bouldin,n_clusters,noise_points,noise_percentage,cluster_sizes
agglomerative,0.40251603722572327,9.488428115844727,0.976517435210317,8,0,0.0,"{np.int64(5): 8, np.int64(6): 3, np.int64(1): 5, np.int64(3): 6, np.int64(2): 6, np.int64(7): 1, np.int64(4): 2, np.int64(0): 5}"
spectral,0.40251603722572327,9.488428115844727,0.976517435210317,8,0,0.0,"{np.int32(1): 8, np.int32(7): 3, np.int32(2): 5, np.int32(0): 6, np.int32(4): 6, np.int32(5): 1, np.int32(3): 2, np.int32(6): 5}"
